,carYear,modelName,trimName,mileage,wheelSystem,exteriorColorName,fleet,hasAccidents,Date,daysOnMarket,ownerCount,price,msrpString,savingsRecommendation,serviceProviderName,sellerRating,dealScore,sellerCity,priceDifferential,expectedPrice,vehicleIdentifier
98,2015,Model S,85D AWD,32432.0,AWD,Black,False,True,1/15/2019,110,1.0,41499.0,50199.0,Good Deal,North Coast Auto Mall Akron,3.38,1.120491653,"Akron, OH",5422.0,46921,5YJSA1H21FF087273
99,2016,Model S,70D AWD,24498.0,AWD,Gray,False,False,2/5/2019,88,1.0,43995.0,,Good Deal,Highline Motor Cars,4.57,1.11547875,"Southampton, NJ",4241.0,48236,5YJSA1E23GF130727
100,2016,Model S,90D AWD,23230.0,AWD,Black,False,True,1/17/2019,107,1.0,51700.0,,Good Deal,Marietta Luxury Motors,4.09,1.1138003029999999,"Marietta, GA",5734.0,57434,5YJSA1E23GF131957
101,2013,Model S,60 RWD,100459.0,RWD,Blue,True,False,4/3/2019,31,2.0,26990.0,,Good Deal,CV Wholesale,5.0,1.113572217,"Green Bay, WI",2393.0,29383,5YJSA1DG1DFP04881
102,2013,Model S,Performance RWD,54205.0,RWD,Silver,False,True,6/21/2018,318,1.0,34990.0,105400.0,Good Deal,VIRGINIA LUXURY MOTORS,4.55,1.113142723,"Chantilly, VA",3976.0,38966,5YJSA1DN7DFP19853
103,2013,Model S,40 RWD,50677.0,RWD,Brown,False,False,12/18/2018,137,1.0,30998.0,,Good Deal,Hanna Imports,3.88,1.112974474,"Raleigh, NC",4385.0,35383,5YJSA1AC0DFP11161
104,2012,Model S,Signature Performance RWD,101008.0,RWD,Black,True,True,4/12/2019,22,2.0,30950.0,,Good Deal,Beta Automotive Superstore,5.0,1.108613859,"Livermore, CA",3032.0,33982,5YJSA1DP4CFS00727
105,2013,Model S,Performance RWD,44270.0,RWD,Gray,False,False,8/10/2018,268,3.0,37147.0,,Good Deal,Elegant Auto Brokers Inc,4.9,1.1081040070000001,"Alpharetta, GA",3958.0,41105,5YJSA1CP2DFP27829
106,2016,Model S,90D AWD,5624.0,AWD,Red,False,False,4/25/2019,9,1.0,60989.0,64995.0,Good Deal,Auto Centrix,4.62,1.103117114,"Carrollton, TX",5679.0,66668,5YJSA1E23GF131201
107,2013,Model S,85 RWD,66001.0,RWD,Gray,True,False,1/25/2019,100,1.0,32990.0,,Good Deal,NextGear Motors,4.53,1.101306744,"Raleigh, NC",2828.0,35818,5YJSA1CNXDFP21064
108,2017,Model S,75 RWD,20276.0,RWD,Gray,True,False,4/26/2019,9,1.0,51981.0,,Good Deal,Mercedes-Benz of Walnut Creek,4.52,1.1011214459999998,"Walnut Creek, CA",2713.0,54694,5YJSA1E19HF206539
109,2014,Model S,,70529.0,,Blue,False,True,1/15/2019,109,1.0,32800.0,,Good Deal,Wheels & Deals of Silicon Valley,4.37,1.099228249,"Santa Clara, CA",3863.0,36663,5YJSA1H18EFP27498
110,2013,Model S,Performance RWD,63561.0,RWD,Black,False,False,12/29/2018,126,2.0,34850.0,104390.0,Good Deal,eCarOne.com,4.24,1.095507217,"Carrollton, TX",3913.0,38763,5YJSA1DP7DFP07476
111,2014,Model S,60 RWD,35737.0,RWD,Black,True,True,3/6/2019,60,1.0,34000.0,,Good Deal,Nelson Automotive,4.6,1.094918854,"Mount Prospect, IL",4004.0,38004,5YJSA1S13EFP34495
112,2012,Model S,Signature Performance RWD,64923.0,RWD,Gray,False,False,4/13/2019,21,1.0,33999.0,,Good Deal,BMG Auto Sales,4.23,1.0932602340000002,"Fremont, CA",2990.0,36989,5YJSA1DP4CFS00761
113,2015,Model S,85D AWD,29576.0,AWD,Red,False,True,5/4/2019,1,1.0,41999.0,84900.0,Good Deal,AX Auto Inc,3.88,1.091560575,"Atlanta, GA",5282.0,47281,5YJSA1H20FF086129
114,2017,Model S,,35334.0,,Unknown,False,False,5/1/2019,3,1.0,58599.0,,Good Deal,Cornerstone Elk River,4.14,1.091541305,"Elk River, MN",5796.0,64395,5YJSA1E29HF232308
115,2017,Model S,75 RWD,29298.0,RWD,Black,True,False,5/1/2019,4,1.0,49463.0,,Good Deal,Folsom Lake Toyota,4.44,1.0905709270000001,"Folsom, CA",2687.0,52150,5YJSA1E14HF218923
116,2018,Model S,75D AWD,7139.0,AWD,Black,True,False,4/25/2019,9,1.0,59555.0,,Good Deal,Sam Jidd Luxury,4.12,1.088487235,"Des Plaines, IL",4433.0,63988,5YJSA1E27JF280797
117,2017,Model S,75 RWD,24037.0,RWD,Silver,True,False,5/1/2019,4,1.0,50961.0,,Good Deal,Folsom Lake Toyota,4.44,1.0848898790000001,"Folsom, CA",2673.0,53634,5YJSA1E11HF233833
