,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
840,2008,Roadste,,23689,RWD,Automatic,Other,Gray,49995,more than 1,,54738.0,Good,NOT HOT,,Free CARFAX Report,Nissan of New Rochelle,4.7,361.0,10801.0,4.8,4,5YJRE11B781000313
841,2014,Model S,P85D,43636,RWD,Automatic,Gray,Black,37884,1,,38802.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Major Motor Cars,5.0,10.0,90404.0,4.9,33,5YJSA1H15EFP32707
842,2018,Model S,75D,4854,AWD,Automatic,Gray,Black,69979,1,,72036.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Aristocrat Motors,5.0,17.0,66203.0,4.8,5,5YJSA1E24JF274049
843,2016,Model X,P90D,11742,AWD,Automatic,Silver,Beige,78888,1,,88939.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Platinum Auto Haus,5.0,109.0,90277.0,5.0,12,5YJXCAE47GF000614
844,2016,Model X,P90D,39428,AWD,Automatic,Black,Black,79888,1,,88544.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,iDeal Motors,5.0,28.0,92627.0,5.0,12,5YJXCBE43GF001460
845,2014,Model S,Base,35737,RWD,Automatic,Black,Beige,34000,1,,38253.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Nelson Automotive,5.0,39.0,60056.0,4.9,33,5YJSA1S13EFP34495
848,2013,Model S,Performance,63561,RWD,Automatic,Black,Black,34850,1,,34928.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,eCarOne.com,4.9,1906.0,75006.0,4.9,47,5YJSA1DP7DFP07476
849,2013,Model S,Performance,71101,RWD,Automatic,Black,Black,29995,more than 1,31995.0,34694.0,Great,NOT HOT,,Free CARFAX Report,Highline Auto Sales,4.6,272.0,60527.0,4.9,47,5YJSA1DGXDFP16057
852,2010,Roadste,,2420,RWD,Automatic,Gray,Gray,69989,1,,75024.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,5.0,4,5YJRE1A10A1001073
853,2015,Model S,85D,38915,AWD,Automatic,Black,Beige,42799,more than 1,,48244.0,Good,NOT HOT,,CARFAX Report,North Coast Auto Mall,4.7,2557.0,44310.0,4.8,41,5YJSA1H26FFP78380
854,2016,Model X,60D,39610,AWD,Automatic,White,Black,59968,1,62863.0,64895.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Folsom Lake Toyota,4.7,170.0,95630.0,5.0,12,5YJXCAE21GF021036
855,2018,Model X,75D,14834,AWD,Automatic,Black,Black,75000,1,76000.0,76464.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Lexus of Maplewood,4.7,578.0,55109.0,5.0,5,5YJXCAE27JF102954
856,2013,Model S,Base,77409,RWD,Automatic,Silver,Other,31200,1,,34689.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,ST. GEORGE AUTO gallery,5.0,16.0,84790.0,4.9,47,5YJSA1CN0DFP24359
857,2013,Model S,Base,57656,RWD,Automatic,Black,Other,33600,1,,34971.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,ST. GEORGE AUTO gallery,5.0,16.0,84790.0,4.9,47,5YJSA1DNXDFP14128
858,2017,Model S,75,19522,RWD,Automatic,Black,Black,53996,1,,58302.0,Good,HOT CAR,6.0,Free CARFAX 1-Owner Report,"Certified Autoplex, Inc.",4.8,1330.0,75006.0,4.7,25,5YJSA1E18HF218696
859,2017,Model S,75,21467,RWD,Automatic,Silver,Black,54889,1,,58302.0,Good,HOT CAR,5.0,Free CARFAX 1-Owner Report,Auto Centrix,5.0,6.0,75006.0,4.7,25,5YJSA1E10HF206543
860,2017,Model S,75,15751,RWD,Automatic,Black,Black,51981,1,,56000.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Mercedes-Benz of Walnut Creek,4.7,241.0,94596.0,4.7,25,5YJSA1E18HF202661
861,2016,Model X,90D,12614,AWD,Automatic,Silver,Black,74995,1,,78184.0,Good,HOT CAR,6.0,Free CARFAX 1-Owner Report,Godspeed Motors,4.7,57.0,28269.0,5.0,12,5YJXCDE28GF025831
862,2016,Model S,70D,23877,AWD,Automatic,Gray,Black,49995,more than 1,,54710.0,Good,NOT HOT,,CARFAX Report,Auto Expo Ent Inc,4.8,1014.0,11021.0,4.8,27,5YJSA1E24GF130073
863,2014,Model S,SDAUTOFINDERS.COM LIKE NEW CLEAN CARFAX,43890,RWD,Automatic,Blue,Beige,35995,more than 1,,38046.0,Good,NOT HOT,,Free CARFAX Report,San Diego Auto Finder,5.0,6.0,92111.0,4.9,33,5YJSA1H18EFP30580
864,2016,Model S,70D,32241,RWD,Automatic,Black,Beige,42699,more than 1,,49027.0,Great,NOT HOT,,Free CARFAX Report,Motor Cars of Nashville,4.3,40.0,37122.0,4.8,27,5YJSA1E12GF128040
865,2018,Model 3,Long Range,6921,RWD,Automatic,Black,Other,46843,more than 1,,53176.0,Good,NOT HOT,,Free AutoCheck Report,Fieldhouse Ford Sales,5.0,52.0,46310.0,4.5,69,5YJ3E1EA8JF015919
866,2018,Model 3,Long Range,5388,RWD,Automatic,Silver,Black,50000,more than 1,,53603.0,Good,HOT CAR,9.0,CARFAX Report,ARC Auto Store,4.9,192.0,64116.0,4.5,69,5YJ3E1EA8JF004077
867,2014,Model S,Base,34230,RWD,Automatic,Blue,Black,39550,1,40050.0,47502.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,Marietta Luxury Motors,4.7,1621.0,30060.0,4.9,33,5YJSA1H13EFP50946
868,2018,Model 3,Long Range,6106,AWD,Automatic,Black,Black,50000,1,,53926.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,CarLotz Midlothian,4.9,858.0,23113.0,4.5,69,5YJ3E1EB1JF071404
869,2017,Model X,75D,8693,AWD,Automatic,Black,Black,70998,more than 1,71998.0,76166.0,Good,NOT HOT,,Free AutoCheck Report,Price Pro,4.8,527.0,43537.0,4.9,17,5YJXCDE21HF037840
870,2016,Model X,90D,24631,AWD,Automatic,Blue,Beige,68500,more than 1,69998.0,70590.0,Good,NOT HOT,,Free AutoCheck Report,Price Pro,4.8,527.0,43537.0,5.0,12,5YJXCAE23GF003444
871,2018,Model 3,Long Range,4481,RWD,Automatic,Gray,Black,48371,1,49499.0,52756.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Contemporary Chrysler Dodge Jeep RAM,4.8,464.0,3055.0,4.5,69,5YJ3E1EA6JF101634
872,2016,Model X,90D,28471,AWD,Automatic,Blue,Beige,68988,1,69988.0,71778.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Bobby Rahal Volvo Cars Jaguar Land Rover,4.8,101.0,15090.0,5.0,12,5YJXCAE24GF006871
873,2015,Model S,70D,31998,AWD,Automatic,Blue,Black,36900,1,,42656.0,Great,NOT HOT,,Free CARFAX 1-Owner Report,Puente Hills Mitsubishi,3.7,3.0,91748.0,4.8,41,5YJSA1S20FF081845
